BSE Code,Name
505850,MANGAL CREDIT AND FINCORP LTD.
505854,TRF LTD.
505872,WPIL LTD.
505890,KENNAMETAL INDIA LTD.
505893,HINDUSTAN HARDY LIMITED
505978,TRITON VALVES LTD.
506003,SUDAL INDUSTRIES LTD.
506022,PRAKASH INDUSTRIES LTD.
506074,ARSHIYA LIMITED
506076,GRINDWELL NORTON LTD.
506109,GENESYS INTERNATIONAL CORPORAT
506122,Kairosoft AI Solutions Limited
506128,PARNAX LAB LTD.
506134,GOURMET GATEWAY INDIA LIMITED
506146,VISAGAR POLYTEX LTD.
506166,APIS INDIA LTD.
506180,EMERGENT INDUSTRIAL SOLUTIONS
506184,KANANI INDUSTRIES LTD.
506186,GALAXY SUPERMARKET LIMITED
506194,ARIHANT SUPERSTRUCTURES LIMITE
506197,BLISS GVS PHARMA LTD.
506222,Styrenix Performance Materials
506235,ALEMBIC LTD.
506248,AMINES & PLASTICIZERS LTD.
506260,ANUH PHARMA LTD.
506261,MODISON LIMITED
506285,BAYER CROPSCIENCE LTD.
506365,STARSOURCE MULTITRADE LIMITED
506390,Sudarshan Colorants India Limi
506395,COROMANDEL INTERNATIONAL LTD.
506401,DEEPAK NITRITE LTD.
506405,DMCC SPECIALITY CHEMICALS LIMI
506414,FERMENTA BIOTECH LIMITED
506480,GOCL Corporation Limited
506520,JAYSHREE CHEMICALS LTD.
506525,KANORIA CHEMICALS & INDUSTRIES
506528,KELTECH ENERGIES LTD.
506532,NITTA GELATIN INDIA LTD.
506543,M.P.AGRO INDUSTRIES LTD.
506579,AG VENTURES LIMITED
506590,PCBL Chemical Limited
506597,AMAL LTD.
506605,POLYCHEM LTD.
506618,PUNJAB CHEMICALS AND CROP PROT
506640,ZR2 BIOENERGY LIMITED
506642,SADHANA NITROCHEM LTD.
506655,SUDARSHAN CHEMICAL INDUSTRIES
506680,TECIL CHEMICALS & HYDRO POWER
506685,ULTRAMARINE & PIGMENTS LTD.
506687,TRANSPEK INDUSTRY LTD.
506690,UNICHEM LABORATORIES LTD.
506734,MYSORE PETRO CHEMICALS LTD.
506767,ALKYL AMINES CHEMICALS LTD.
506808,TUTICORIN ALKALI CHEMICALS AND
506820,ASTRAZENECA PHARMA INDIA LTD.
506852,Primo Chemicals Limited
506854,TANFAC INDUSTRIES LTD.
506858,GUJARAT PETROSYNTHESE LTD.
506863,SWADESHI INDUSTRIES LEASING CO
506879,GUJARAT THEMIS BIOSYN LTD.
506919,MAKERS LABORATORIES LTD.
506945,INDO GULF INDUSTRIES LTD.
506947,ADVANCE PETROCHEMICALS LTD.
506979,APT PACKAGING LTD.
506981,BLUE CHIP TEX INDUSTRIES LTD.
507155,JAGATJIT INDUSTRIES LTD.
507180,KESAR ENTERPRISES LTD.
507205,TILAKNAGAR INDUSTRIES LTD.
507265,Emerald Leisures Limited
507300,The Ravalgaon Sugar Farm Limit
507315,SAKTHI SUGARS LTD.
507410,WALCHANDNAGAR INDUSTRIES LTD.
507438,IFB AGRO INDUSTRIES LTD.
507474,KOTHARI FERMENTATION & BIOCHEM
507488,G.M.BREWERIES LTD.
507490,RANA SUGARS LTD.
507498,PICCADILY SUGAR & ALLIED INDUS
507514,SOM DISTILLERIES & BREWERIES L
507515,C.J.GELATINE PRODUCTS LTD.
507526,ASSOCIATED ALCOHOLS & BREWERIE
507552,FOODS & INNS LTD.
507580,IVP LTD.
507598,KOVILPATTI LAKSHMI ROLLER FLOU
507621,MILKFOOD LTD.
507645,POLSON LTD.
507685,WIPRO LTD.
507690,ORIENT BEVERAGES LTD.
507717,DHANUKA AGRITECH LTD.
507747,TTK HEALTHCARE LTD.
507753,TGV SRAAC Limited
507759,LIME CHEMICALS LTD.
507779,KANPUR PLASTIPACK LTD.
507785,TAINWALA CHEMICALS & PLASTICS
507789,JAGSONPAL PHARMACEUTICALS LTD.
507794,KHAITAN CHEMICALS & FERTILIZER
507813,NATIONAL OXYGEN LTD.
507815,GILLETTE INDIA LTD.
507817,WIRES & FABRIKS (SA) LTD.
507828,ANSAL HOUSING LIMITED
507833,COMPUTER POINT LTD.
507836,MAC CHARLES (INDIA) LTD.
507852,ADDI INDUSTRIES LTD.
507864,PIONEER INVESTCORP LTD.
507872,ASHNOOR TEXTILE MILLS LTD.
507878,UNITECH LTD.
507880,V.I.P.INDUSTRIES LTD.
507910,FIBERWEB (INDIA) LTD.
507912,GYFTR LIMITED
507917,EAST BUILDTECH LTD.
507944,BAJAJ STEEL INDUSTRIES LTD.
507946,KIDUJA INDIA LTD.
507948,KEY CORP LTD.
507960,GUJARAT HOTELS LTD.
507962,FYNX CAPITAL LIMITED
507966,RAS RESORTS & APART HOTELS LTD
507968,JOLLY PLASTIC INDUSTRIES LTD.
507970,PARAMOUNT COSMETICS (INDIA) LT
507981,JINDAL HOTELS LTD.
507998,SIMMONDS MARSHALL LTD.
508486,HAWKINS COOKERS LTD.
508494,WARREN TEA LTD.
508571,COCHIN MALABAR ESTATES & INDUS
508664,BEST EASTERN HOTELS LTD.
508670,NEELAMALAI AGRO INDUSTRIES LTD
508807,IST LTD.
508814,Cosmo First Limited
508867,NEW MARKETS AVENUE LIMITED
508869,APOLLO HOSPITALS ENTERPRISE LT
508875,Nitin Castings Limited
508905,NEXOME CAPITAL MARKETS LIMITED
508906,EVEREST INDUSTRIES LTD.
508918,IRONWOOD EDUCATION LIMITED
508933,AYM Syntex Limited
508941,PANASONIC CARBON INDIA CO.LTD.
508954,FINKURVE FINANCIAL SERVICES LT
508956,HB LEASING & FINANCE CO.LTD.
508961,SHRICON INDUSTRIES LTD.
508969,SULABH ENGINEERS & SERVICES LT
508980,FRONTIER CAPITAL LIMITED
508989,NAVNEET EDUCATION LIMITED
509009,AUSOM ENTERPRISE LIMITED
509015,THAKRAL SERVICES (INDIA) LTD.
509020,RUCHI INFRASTRUCTURE LTD.
509024,GOLDEN LEGAND LEASING & FINANC
509026,VJTF EDUSERVICES LTD.
509038,VOLTAIRE LEASING & FINANCE LTD
509040,NETLINK SOLUTIONS (INDIA) LTD.
509046,TRILIANCE POLYMERS LIMITED
509048,LANCOR HOLDINGS LTD.
509051,INDIAN INFOTECH & SOFTWARE LTD
509053,BANAS FINANCE LTD.
509055,VISAKA INDUSTRIES LTD.
509069,INFOMEDIA PRESS LTD.
509073,HATHWAY BHAWANI CABLETEL & DAT
509079,GUFIC BIOSCIENCES LTD.
509152,GRP LTD.
509162,INDAG RUBBER LTD.
509196,MM RUBBER COMPANY LTD.
509220,PTL ENTERPRISES LTD.
509243,TVS SRICHAKRA LTD.
509423,SANATHNAGAR ENTERPRISES LIMITE
509438,BENARES HOTELS LTD.
509449,BHAGWATI OXYGEN LTD.
509470,BOMBAY OXYGEN INVESTMENTS LIMI
509472,CRAVATEX LTD.
509480,BERGER PAINTS INDIA LTD.
509486,CAPRIHANS INDIA LTD.
509488,GRAPHITE INDIA LTD.
509496,Cemindia Projects Limited
509525,EMPIRE INDUSTRIES LTD.
509546,GRAVISS HOSPITALITY LIMITED
509557,GARWARE TECHNICAL FIBRES LIMIT
509563,GARWARE MARINE INDUSTRIES LTD.
509567,GOA CARBON LTD.
509597,HARDCASTLE & WAUD MFG.CO.LTD.
509631,HEG LTD.
509635,HINDUSTAN COMPOSITES LTD.
509675,BIRLANU LIMITED
509692,INDIAN CARD CLOTHING CO.LTD.
509709,INTERNATIONAL CONVEYORS LTD.
509715,JAY SHREE TEA & INDUSTRIES LTD
509732,KOTHARI INDUSTRIAL CORPORATION
509760,MODERN SHARES & STOCKBROKERS L
509762,MAPRO INDUSTRIES LTD.
509820,HUHTAMAKI INDIA LIMITED
509835,PREMIER SYNTHETICS LTD.
509874,SHALIMAR PAINTS LTD.
509887,SINNAR BIDI UDYOG LTD.
509895,HINDOOSTAN MILLS LTD.
509930,SUPREME INDUSTRIES LTD.
509945,THACKER & CO.LTD.
509953,TRADE WINGS LTD.
509960,U.P.HOTELS LTD.
509966,VST INDUSTRIES LTD.
510245,SWASTI VINAYAKA SYNTHETICS LTD
511000,MSL GLOBAL LIMITED
511012,YAMINI INVESTMENTS COMPANY LTD
511016,PREMIER CAPITAL SERVICES LTD.
511018,MILGREY FINANCE & INVESTMENT L
511034,JINDAL DRILLING & INDUSTRIES L
511066,SAKTHI FINANCE LTD.
511076,AEROFLEX ENTERPRISES LIMITED
511092,JMD Ventures Limited
511108,SHIVA TEXYARN LTD.
511110,V.B.DESAI FINANCIAL SERVICES L
511122,FIRST CUSTODIAN FUND (INDIA) L
511131,KAMANWALA HOUSING CONSTRUCTION
511144,AXIS SOLUTIONS LIMITED
511147,WSFX Global Pay Limited
511153,Anjani Foods Limited
511176,PARSHWANATH CORPORATION LTD.
511187,Millennium Online Solutions (I
511194,ICDS LTD.
511196,CAN FIN HOMES LTD.
511208,IL&FS INVESTMENT MANAGERS LTD.
511218,Shriram Finance Limited
511243,CHOLAMANDALAM INVESTMENT AND F
511246,BOMBAY TALKIES LIMITED
511260,ICONIK SPORTS AND EVENTS LIMIT
511333,VLS FINANCE LTD.
511355,INDIA CEMENTS CAPITAL LTD.
511359,AD-MANUM FINANCE LTD.
511391,INTER GLOBE FINANCE LTD.
511411,SHRISTI INFRASTRUCTURE DEVELOP
511413,CREST
511431,VAKRANGEE LIMITED
511441,GUJARAT CREDIT CORPORATION LTD
511447,Sylph Industries Limited
511451,DHARANI FINANCE LTD.
511463,Alexander Stamps And Coin Limi
511473,INDBANK MERCHANT BANKING SERVI
511493,SHRYDUS INDUSTRIES LIMITED
511501,Bharat Bhushan Finance & Commo
511505,CAPITAL TRUST LTD.
511507,USHAKIRAN FINANCE LTD.
511509,VIVO BIO TECH LTD.
511523,VEERHEALTH CARE LIMITED
